country,co2_per_capita,renewables_share_energy,fossil_share_energy,low_carbon_share_energy,gdp,cluster,cluster_label
Argentina,3.286,1.001,98.999,1.001,264721484806.0,0,"Moderate CO₂, Fossil-heavy"
Argentina,3.461,1.274,98.726,1.274,278897355187.0,0,"Moderate CO₂, Fossil-heavy"
Argentina,3.663,1.196,98.804,1.196,292438888324.0,0,"Moderate CO₂, Fossil-heavy"
Argentina,3.655,1.163,98.837,1.163,301570151738.0,0,"Moderate CO₂, Fossil-heavy"
Argentina,3.752,2.15,97.85,2.15,319937928734.0,0,"Moderate CO₂, Fossil-heavy"
Argentina,3.75,3.419,95.881,4.119,340686393609.0,0,"Moderate CO₂, Fossil-heavy"
Argentina,3.666,3.644,94.615,5.385,337656029605.0,0,"Moderate CO₂, Fossil-heavy"
Argentina,3.794,3.349,94.957,5.043,336841121953.0,0,"Moderate CO₂, Fossil-heavy"
Argentina,3.772,3.683,95.284,4.716,357157949062.0,0,"Moderate CO₂, Fossil-heavy"
Argentina,3.781,4.903,93.28,6.72,341466738351.0,0,"Moderate CO₂, Fossil-heavy"
Argentina,4.014,6.312,92.109,7.891,365906443800.0,0,"Moderate CO₂, Fossil-heavy"
Argentina,3.88,9.006,89.612,10.388,371076968671.0,0,"Moderate CO₂, Fossil-heavy"
Argentina,3.584,9.004,89.281,10.719,349782000000.0,0,"Moderate CO₂, Fossil-heavy"
Argentina,3.574,10.539,88.349,11.651,338761500000.0,0,"Moderate CO₂, Fossil-heavy"
Argentina,3.579,10.597,87.462,12.538,350706600000.0,0,"Moderate CO₂, Fossil-heavy"
Argentina,3.566,11.376,85.986,14.014,357844347000.0,2,"Moderate CO₂, Balanced Energy"
Argentina,3.315,11.979,84.698,15.302,334171440000.0,2,"Moderate CO₂, Balanced Energy"
Argentina,3.382,11.631,85.231,14.769,358634675000.0,2,"Moderate CO₂, Balanced Energy"
Argentina,3.673,11.583,85.018,14.982,367893625000.0,2,"Moderate CO₂, Balanced Energy"
Argentina,3.822,7.946,89.062,10.938,360921156000.0,0,"Moderate CO₂, Fossil-heavy"
Argentina,3.628,7.116,90.189,9.811,338520796000.0,0,"Moderate CO₂, Fossil-heavy"
Argentina,3.425,9.729,86.305,13.695,338751144000.0,2,"Moderate CO₂, Balanced Energy"
Argentina,3.543,8.57,87.28,12.72,376057930424.0,0,"Moderate CO₂, Fossil-heavy"
Argentina,3.606,9.64,86.826,13.174,416679827242.0,0,"Moderate CO₂, Fossil-heavy"
Argentina,3.456,11.552,84.698,15.302,444780261628.0,2,"Moderate CO₂, Balanced Energy"
Argentina,3.424,12.563,83.661,16.339,472926751991.0,2,"Moderate CO₂, Balanced Energy"
Argentina,3.576,11.83,85.032,14.968,461601030169.0,2,"Moderate CO₂, Balanced Energy"
Argentina,3.701,9.646,87.189,12.811,489406483416.0,0,"Moderate CO₂, Fossil-heavy"
Argentina,3.8,11.781,84.886,15.114,531526379817.0,2,"Moderate CO₂, Balanced Energy"
Argentina,3.835,10.78,86.215,13.785,554567078807.0,2,"Moderate CO₂, Balanced Energy"
Argentina,4.032,8.606,88.579,11.421,538270560194.0,0,"Moderate CO₂, Fossil-heavy"
Argentina,3.852,11.557,85.985,14.015,536480965694.0,2,"Moderate CO₂, Balanced Energy"
Argentina,3.588,15.036,82.098,17.902,514867255248.0,2,"Moderate CO₂, Balanced Energy"
Argentina,3.285,15.335,82.217,17.783,460558541367.0,2,"Moderate CO₂, Balanced Energy"
Argentina,3.498,13.613,83.435,16.565,503104157615.0,2,"Moderate CO₂, Balanced Energy"
Argentina,4.051,11.465,85.674,14.326,550306327169.0,2,"Moderate CO₂, Balanced Energy"
Argentina,4.124,12.032,85.629,14.371,601050418142.0,2,"Moderate CO₂, Balanced Energy"
Argentina,4.4,12.678,84.832,15.168,652296814311.0,2,"Moderate CO₂, Balanced Energy"
Argentina,4.342,10.024,87.741,12.259,714725198062.0,0,"Moderate CO₂, Fossil-heavy"
Argentina,4.641,9.872,87.894,12.106,747157417513.0,0,"Moderate CO₂, Fossil-heavy"
Argentina,4.366,11.193,86.267,13.733,705920838368.0,2,"Moderate CO₂, Balanced Energy"
Argentina,4.508,11.092,86.765,13.235,785785170150.0,2,"Moderate CO₂, Balanced Energy"
Argentina,4.55,10.412,87.749,12.251,837742673804.0,0,"Moderate CO₂, Fossil-heavy"
Argentina,4.547,9.701,88.541,11.459,829147409948.0,0,"Moderate CO₂, Fossil-heavy"
Argentina,4.451,10.134,88.284,11.716,849088398588.0,0,"Moderate CO₂, Fossil-heavy"
Argentina,4.382,10.396,88.183,11.817,827750786191.0,0,"Moderate CO₂, Fossil-heavy"
Argentina,4.412,10.275,87.95,12.05,850356641236.0,0,"Moderate CO₂, Fossil-heavy"
Argentina,4.328,9.586,88.332,11.668,832669278245.0,0,"Moderate CO₂, Fossil-heavy"
Argentina,4.224,10.445,88.019,11.981,856142153676.0,0,"Moderate CO₂, Fossil-heavy"
Argentina,4.087,10.824,87.432,12.568,833736983405.0,0,"Moderate CO₂, Fossil-heavy"
Argentina,4.012,11.417,86.311,13.689,817053926667.0,2,"Moderate CO₂, Balanced Energy"
Argentina,3.643,11.833,85.285,14.715,735814250460.0,2,"Moderate CO₂, Balanced Energy"
Argentina,4.197,10.947,86.394,13.606,812324184006.0,2,"Moderate CO₂, Balanced Energy"
Argentina,4.047,12.01,86.146,13.854,854914363923.0,2,"Moderate CO₂, Balanced Energy"
Australia,10.003,5.252,94.748,5.252,185112108474.0,0,"Moderate CO₂, Fossil-heavy"
Australia,9.984,4.787,95.213,4.787,190257575019.0,0,"Moderate CO₂, Fossil-heavy"
Australia,10.354,4.671,95.329,4.671,203110686898.0,0,"Moderate CO₂, Fossil-heavy"
Australia,10.704,4.591,95.409,4.591,215046500976.0,0,"Moderate CO₂, Fossil-heavy"
Australia,11.115,4.8,95.2,4.8,228127284464.0,0,"Moderate CO₂, Fossil-heavy"
